;;;H;L0;L1;L2;L3;L4;L5;Q0;Q1;Q2;M0;M1;M2;G0;G1;G2;;Present in..;Req. weight;;E1;E2 (k=2);E3 (k=3);E4 (k=4);E0 (w0,4);
;W.2.3;Automated Alert System for Suspicious Activity;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;;1;0,221995407;;Yes;No;No;No;No;
;W.2.4;Detection and Notification of Potential Security Breaches;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;;2;0,605830515;;Yes;Yes;No;No;Yes;
;W.2.5;Unauthorized Access Detection for Warehouse Inventory System;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;;2;0,734769521;;Yes;Yes;No;No;Yes;
;W.2.6;Unauthorized Access Detection for Assembly Line Management System;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;;1;0,471616356;;Yes;No;No;No;No;
;W.2.7;Unauthorized Access Detection for Outbound Logistics Management System;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;;1;0,471616356;;Yes;No;No;No;No;
;W.2.8;Finished Car Registry Access Breach Notification;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;;1;0,383835108;;Yes;No;No;No;No;
;W.2.9;Transport Order Data Store Access Breach Notification;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;;1;0,383835108;;Yes;No;No;No;No;
;W.2.10;Authentication Alert System Reliability;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;;1;0,445469789;;Yes;No;No;No;No;
Physical or logical access controls must be implemented to isolate {sensitive applications, data, or systems}.;W.3.1;Physical Access Control for Factory Premises;No;Yes;No;No;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;;4;1,891748429;;Yes;Yes;Yes;Yes;Yes;
;W.3.2;Assembly Line and Warehouse Access Control;No;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;;4;1,77719214;;Yes;Yes;Yes;Yes;Yes;
;W.3.3;Role-Based Access Control for System Administration;No;No;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;No;No;Yes;No;;8;3,175790506;;Yes;Yes;Yes;Yes;Yes;
;W.3.4;Secure Access to Finished Car Registry and VIN Management;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
;W.3.5;Segregation of Duties for Warehouse Workers;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;;1;0,221995407;;Yes;No;No;No;No;
;W.3.6;Secure Storage of Finished Cars;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;;1;0,221995407;;Yes;No;No;No;No;
;W.3.7;Restricted Access to Logistics Terminal;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;;1;0,221995407;;Yes;No;No;No;No;
;W.3.8;SecureProductionManagementSystemAccess;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;1;0,48052709;;Yes;No;No;No;No;
;W.3.9;SecurityManagerOversightImplementation;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;1;0,48052709;;Yes;No;No;No;No;
;W.3.10;AccessGateAndDockSecurityControls;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;;1;0,337296233;;Yes;No;No;No;No;
;W.3.11;SecureInboundAndOutboundLogisticProcesses;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;;1;0,337296233;;Yes;No;No;No;No;
;W.3.12;Secure AIDC System Interfaces;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;;2;0,588920749;;Yes;Yes;No;No;No;
{Access to data} must be controlled based on {user identity, group membership, and assigned roles};W.4.1;User_Authentication_and_Authorization;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;1;0,48052709;;Yes;No;No;No;No;
;W.4.2;Assembly_Line_Workers_Permissions;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;1;0,48052709;;Yes;No;No;No;No;
;W.4.3;Subsystem_Specific_Access;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;1;0,48052709;;Yes;No;No;No;No;
;W.4.4;Secure Entry and Exit Control;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;;1;0,424257326;;Yes;No;No;No;No;
;W.4.5;Digital Access Management for Sensitive Areas;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;;1;0,424257326;;Yes;No;No;No;No;
;W.4.6;Role-Based Access Control Performance;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;;1;0,445469789;;Yes;No;No;No;No;
;W.4.7;Role-Based Access Control Scalability;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;;1;0,445469789;;Yes;No;No;No;No;
;W.4.8;Secure Authentication for System Interaction;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;;1;0,344927926;;Yes;No;No;No;No;
The {organization} shall maintain a record of {all privileges allocated};W.5.1;Record of Access Privileges for Forwarder Contractors;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;1;0,669544865;;Yes;No;No;No;Yes;
;W.5.2;Record of Operational Privileges for Assembly Line Management;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
;W.5.3;Record of Access Privileges for Supply Vehicles and Drivers;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
;W.5.4;Access Control and Authorization;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;;1;0,328636938;;Yes;No;No;No;No;
;W.5.5;Audit and Compliance;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;;1;0,328636938;;Yes;No;No;No;No;
;W.5.6;Record of IoT Middleware Access Privileges;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;;1;0,471616356;;Yes;No;No;No;No;
;W.5.7;Implementation of Role-Based Access Control (RBAC);No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;;1;0,344927926;;Yes;No;No;No;No;
The {organization} shall regularly review {users} with privileged access rights to ensure that their {duties}, {roles}, {responsibilities}, and {competence} still justify such access;W.6.1;Comprehensive Audit Trail Maintenance;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;;1;0,445469789;;Yes;No;No;No;No;
{Connection} of {systems} to the {network} must be restricted and filtered, e.g., using firewalls.;W.7.1;Assembly Line Network Access Restriction;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;;1;0,221995407;;Yes;No;No;No;No;
;W.7.2;Filtered Front-end Application Access;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;;1;0,328636938;;Yes;No;No;No;No;
{Network administration channels} must be segregated from {other network traffic};W.8.1;Isolation of IoT Middleware Platforms;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
;W.8.2;Isolation of Operations Management Traffic;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
;W.8.3;Separation of Security Management Channels;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
;W.8.4;Segregation of Operations Manager Channels;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;;2;0,550632345;;Yes;Yes;No;No;No;
;W.8.5;Segregation of Security Manager Channels;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;;2;0,550632345;;Yes;Yes;No;No;No;
;W.8.6;Segregation of System Admin Channels;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;;1;0,328636938;;Yes;No;No;No;No;
;W.8.7;Isolated Inventory Management Network;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;;1;0,398686129;;Yes;No;No;No;No;
;W.8.8;Separated Assembly Line Network;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;;2;0,680501415;;Yes;Yes;No;No;Yes;
;W.8.9;Segregated Outbound Logistics Network;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;;1;0,398686129;;Yes;No;No;No;No;
;W.8.10;Supply Chain Management Network Isolation;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;;1;0,383835108;;Yes;No;No;No;No;
;W.8.11;Warehouse Management Network Separation;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;;1;0,383835108;;Yes;No;No;No;No;
;W.8.12;Quality Control Network Isolation;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;;1;0,383835108;;Yes;No;No;No;No;
Implement cryptographic measures to safeguard {information stored} on {mobile user} {endpoint devices} or {storage media} and transmitted over {networks};W.9.1;Secure Transmission of Delivery Notes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
;W.9.2;SecureAuthenticationAndKeyManagement;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;1;0,48052709;;Yes;No;No;No;No;
;W.9.3;SecureStorageMediaHandling;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;;2;0,74111135;;Yes;Yes;No;No;Yes;
;W.9.4;AdministrativeDeviceEncryption;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;;1;0,424257326;;Yes;No;No;No;No;
;W.9.5;Cryptographic Protection for Automated Guided Vehicles and Robots;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;;1;0,344927926;;Yes;No;No;No;No;
Establish a comprehensive key management system, including procedures for generating and protecting {cryptographic keys} and recovering {encrypted data} in case of lost, compromised, or damaged {keys};W.10.1;Finished Car Registry Data Protection;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;2;1,074669644;;Yes;Yes;No;No;Yes;
;W.10.2;Protected Data in Transit;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;;1;0,526274742;;Yes;No;No;No;No;
;W.10.3;Integration of Key Management with IoT Middleware;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
;W.10.4;Role-Based Access Control for Key Management;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
;W.10.5;Secure Key Management for External Communication;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
;W.10.6;System Admin Key Management Responsibilities;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;;1;0,575950831;;Yes;No;No;No;No;
;W.10.7;Secure Key Management for Car Identity and Authentication;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;;1;0,221995407;;Yes;No;No;No;No;
;W.10.8;Key Management for Secure Communication with External Entities;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;;1;0,221995407;;Yes;No;No;No;No;
;W.10.9;Endpoint Device Data Protection;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;;1;0,48052709;;Yes;No;No;No;No;
