Norm;L3.#;Automated requirement name;Present;Support;Hallucination;Rationale
;L3.3.17;Secure IoT Middleware Access;Yes;H.3.4;;
{Access to data} must be controlled based on {user identity, group membership, and assigned roles};L3.4.1;Access Control for Requisitions Data Store;Yes;"H.4.1; H.4.2";;
;L3.4.2;Role-Based Access to Supply Vehicles Registry;Yes;"H.4.1; H.4.2";;
;L3.4.3;Warehouse Inventory Access Control;Yes;H.4.5;;
;L3.4.4;Production Plan Data Store Access Control;No;;No;
;L3.4.5;Finished Car Registry Access Control;Yes;H.4.3;;
;L3.4.6;Purchase Order and Transport Order Data Stores Access Control;Yes;H.4.3;;
;L3.4.7;System Administration Access Control;No;;No;
;L3.4.8;Logistics Terminal Car Registry Access Control;No;;No;
;L3.4.9;User Management and Access Control;Yes;H.4.8;;
;L3.4.10;Factory Employee Data Access Control;No;;No;
;L3.4.11;Role-Based Access to Dealer and Forwarder Information;Yes;H.4.7;;
;L3.4.12;Data Access Control for Finished Car Yard and Logistics Terminal;Yes;H.4.4;;
The {organization} shall maintain a record of {all privileges allocated};L3.5.1;Privilege Allocation Record for Employee Roles;Yes;H.5.1;;
;L3.5.2;Privilege Allocation Record for Automated Systems;No;;No;
;L3.5.3;Privilege Allocation Record for Administration and Management Roles;No;;No;
;L3.5.4;Record of Access Privileges for Car Manufacturer Employees;Yes;H.5.1;;
;L3.5.5;Record of System Privileges for Factory IT Infrastructure;Yes;H.5.1;;
;L3.5.6;Record of Operational Privileges for Assembly Line Management;No;;Yes;Outside of the scope of the system
;L3.5.7;Record of Access Privileges for Supply Vehicles and Drivers;No;;Yes;Outside of the scope of the system
;L3.5.8;Record of Security-Related Privileges for Security Manager;Yes;H.5.1;;
;L3.5.9;Record of System Privileges;Yes;H.5.1;;
The {organization} shall regularly review {users} with privileged access rights to ensure that their {duties}, {roles}, {responsibilities}, and {competence} still justify such access;L3.6.1;Regular Review of System Admin Privileges;Yes;H.6.1;;
;L3.6.2;Regular Review of Operations Manager Privileges;Yes;H.6.1;;
;L3.6.3;Regular Review of Security Manager Privileges;Yes;H.6.1;;
;L3.6.4;Privileged Access Review for Car Manufacturer Employees;Yes;H.6.1;;
;L3.6.5;Periodic Evaluation of Employee Competence and Access Rights;Yes;H.6.1;;
;L3.6.6;Role-Based Access Control Review for Factory Systems;Yes;H.6.1;;
;L3.6.7;Privileged Access Rights Review for Factory Employees with Access to Sensitive Systems;Yes;H.6.1;;
;L3.6.8;Competence-Based Access Rights Review for Employees with Roles Requiring Specialized Knowledge;No;;No;
{Connection} of {systems} to the {network} must be restricted and filtered, e.g., using firewalls.;L3.7.1;Filtered External Entity Network Access Control;Yes;H.7.3;;Many of the following are cuasi-redundant
;L3.7.2;Filtered IT Infrastructure Network Access;Yes;H.7.1;;
;L3.7.3;Network Segmentation Access Control;Yes;H.7.1;;
;L3.7.4;Restricted AGV and Robotized System Network Access;No;;No;
;L3.7.5;Restricted IoT Device Connections;No;;No;
;L3.7.6;Secured Administration System Network Access;No;;No;
;L3.7.7;Secured Data Store and Registry Network Connections;Yes;H.7.1;;
;L3.7.8;Secured Generalist IoT Middleware Platforms Connection;No;;No;
;L3.7.9;Secured Middleware Connections;Yes;H.7.1;;
;L3.7.10;User Network Access Restriction;Yes;H.7.1;;
;L3.7.11;Factory IT Infrastructure Network Access Restriction;Yes;H.7.1;;
;L3.7.12;IoT Device Connection Filtering;Yes;H.7.1;;
;L3.7.13;Secure IoT Device Connections;Yes;H.7.1;;
;L3.7.14;Filtered External System Connections;Yes;H.7.3;;
;L3.7.15;Secure Access Control Manager Connection;Yes;H.7.1;;
;L3.7.16;Restricted Dock Manager Network Access;Yes;H.7.1;;
;L3.7.17;Filtered Warehouse Inventory Connection;Yes;H.7.1;;
;L3.7.18;Secure Plant Manager Network Access;Yes;H.7.1;;
;L3.7.19;Restricted Shipping Manager Connection;Yes;H.7.1;;
;L3.7.20;Filtered Finished Car Yard Connection;Yes;H.7.1;;
;L3.7.21;Secure Requisitions Data Store Connection;Yes;H.7.1;;
;L3.7.22;Restricted Supply Vehicles Registry Access;Yes;H.7.1;;
;L3.7.23;Filtered Warehouse Inventory Access;Yes;H.7.1;;
;L3.7.24;Secure Production Plan Data Store Connection;Yes;H.7.1;;
;L3.7.25;Restricted Finished Car Registry Access;Yes;H.7.1;;
;L3.7.26;Filtered Logistics Terminal Car Registry Connection;Yes;H.7.1;;
;L3.7.27;Secure Purchase Order and Transport Order Data Stores Connection;Yes;H.7.1;;
;L3.7.28;Restricted Handheld Devices Access;Yes;H.7.1;;
;L3.7.29;Filtered Front-end Application Connection;Yes;H.7.1;;
;L3.7.30;Restricted Sensors and Actuators Connection;Yes;H.7.1;;
;L3.7.31;Secure Factory Network Infrastructure Connection;Yes;H.7.1;;
;L3.7.32;Filtered Internet of Things (IoT) Network Connection;Yes;H.7.1;;
;L3.7.33;Secure External Network Connection;Yes;H.7.2;;
{Network administration channels} must be segregated from {other network traffic};L3.8.1;Segregation of System Administration Channels;Yes;H.8.1;;
;L3.8.2;Isolation of Network Administration Channels;No;;No;
;L3.8.3;Isolation of IoT Middleware Platforms;No;;Yes;Excessive
;L3.8.4;Protection of Administration Channels;No;;No;
;L3.8.5;Isolation of Operations Management Traffic;No;;Yes;Excessive
;L3.8.6;Separation of Security Management Channels;No;;Yes;Excessive
Implement cryptographic measures to safeguard {information stored} on {mobile user} {endpoint devices} or {storage media} and transmitted over {networks};L3.9.1;Secure Communication of Handheld Devices;Yes;H.9.3;;
;L3.9.2;Protection of Component Inventory Data;Yes;H.9.1;;
;L3.9.3;Secure Transmission of Delivery Notes;No;;Yes;Absurd
;L3.9.4;Safeguard Finished Car Registry Information;Yes;H.9.1;;
;L3.9.5;Secure AGV and Robot Communication;Yes;H.9.3;;
;L3.9.6;Protection of Purchase Order and Transport Order Data;Yes;H.9.1;;
;L3.9.7;Secure IoT Middleware Platform Communication;No;;No;
;L3.9.8;Cryptographic Protection of Sensitive Data Stores;Yes;H.9.1;;
;L3.9.9;Secure Data Transmission over IoT Middleware Platforms;Yes;H.9.3;;
;L3.9.10;Cryptographic Protection of Physical Storage Media;Yes;H.9.2;;
;L3.9.11;Secure Handheld Device Data Storage;No;;No;
;L3.9.12;Secure Production Plan Data Storage;No;;No;
;L3.9.13;Secure Requisition Data Storage;Yes;H.9.1;;
;L3.9.14;Supply Vehicle Registry Data Encryption;Yes;H.9.1;;
;L3.9.15;Secure Internal Network Data Transmission;Yes;H.9.3;;
Establish a comprehensive key management system, including procedures for generating and protecting {cryptographic keys} and recovering {encrypted data} in case of lost, compromised, or damaged {keys};L3.10.1;Comprehensive Key Management System;Yes;H.10.2;;
;L3.10.2;Secure Key Management for Data Stores;Yes;H.10.2;;
;L3.10.3;Secure Key Management for Employee Authentication;Yes;H.10.2;;
;L3.10.4;Key Recovery for Business Continuity;No;;No;
;L3.10.5;Integration of Key Management with IoT Middleware;No;;Yes;Not directly inferrable
;L3.10.6;Role-Based Access Control for Key Management;No;;Yes;Not directly inferrable
;L3.10.7;Secure Key Management for External Communication;No;;Yes;Absurd
;L3.10.8;Secure Data Transmission;No;;Yes;Out of the scope
;L3.10.9;Protected Data Storage;Yes;H.10.2;;
;L3.10.10;Factory IT Infrastructure Key Management;Yes;H.10.2;;
;L3.10.11;System Admin Key Management Responsibilities;No;;Yes;Not directly inferrable
;L3.10.12;Security Manager Key Management Oversight;Yes;H.10.3;;
Totals;;;36;;19;
