;GS.#;;H.#;L0.#;L1.#;L2.#;L3.#;L4.#;L5.#;Q0.#;Q1.#;Q2.#;M0.#;M1.#;M2.#;G0.#;G1.#;G2.#
;GS.7.10;Secured Administration System Network Access;;;;;L3.7.6;;;;;;;;;;;
;GS.7.11;Factory Network Access Restriction;;;;;;L4.7.1;L5.7.1;;;;;;;;;
{Network administration channels} must be segregated from {other network traffic};GS.8.1;Maintenance Network Segregation;H.8.1;;;;;;;;;;;;;;;
;GS.8.2;Isolation of Network Administration from Logistics Network Traffic;;L0.8.2;;;L3.8.2;;;;;;;;;;;
;GS.8.3;Protection of Administration Channels;;;;;L3.8.4;;;;;;;;;;;
Implement cryptographic measures to safeguard {information stored} on {mobile user} {endpoint devices} or {storage media} and transmitted over {networks};GS.9.1;Cryptographic Safeguarding of Data Stores;H.9.1;;;;;;;;;;;;;;;
;GS.9.2;Cryptographic Safeguarding of RFID Data;H.9.2;;;;;;;;;;;;;;;
;GS.9.3;Network Data Encryption;H.9.3;;;;;;;;;;;;;;;
;GS.9.4;Secure Transmission and Storage of Production Plans;;L0.9.4;;;L3.9.12;;;;;;;;;;;
;GS.9.5;Supply Chain Interaction Security;;;;L2.9.3;;;;;;;;;;;;
;GS.9.6;EndpointDeviceDataProtection;;;;;L3.9.11;;L5.9.5;;;Q2.9.1;;;M2.9.2;G0.9.2;;
;GS.9.7;IoTMiddlewareSecurity;;;;;L3.9.7;;;;;Q2.9.5;;;;;;
;GS.9.8;External Network Communication Security;;;;;;;;;;;;;;G0.9.3;;
Establish a comprehensive key management system, including procedures for generating and protecting {cryptographic keys} and recovering {encrypted data} in case of lost, compromised, or damaged {keys};GS.10.1;Key Management for AIDC Carriers;H.10.1;;;;;;;;;;;;;;;
;GS.10.2;Key Management for Employee Access;H.10.2;;;;;;;;;;;;;;;
;GS.10.3;Security Manager for Key Management;H.10.3;;;;;;;;;;;;;;;
;GS.10.4;Secure Key Management for Automated Systems;;L0.10.2;;;;;;;;;;;;;;
;GS.10.5;Key Recovery;;;;L2.10.3p;L3.10.4;;;;Q1.10.2;;;;;G0.10.2;;
;GS.10.6;Key Revocation;;;;L2.10.3p;;;;;;;M0.10.3p;;;;;
;GS.10.7;Access-Controlled Key Management;;;;L2.10.4;;;;;;;;;;;;
;GS.10.8;Key-Driven Data Recovery Protocol;;;;;;;L5.10.3;;;Q2.10.3;;;;;;
;GS.10.9;Automatic Key Rotation;;;;;;;;;;;M0.10.3p;;;;;
;GS.10.10;Key Usage Monitoring and Reporting;;;;;;;;;;;M0.10.5;;;;;
Total GS requirements;75;Total discoveries;30;13;6;8;18;3;7;4;2;5;9;3;2;5;2;1
;;Discoveries over total (%);40%;17%;8%;11%;24%;4%;9%;5%;3%;7%;12%;4%;3%;7%;3%;1%
;;;;;;;;;;;;;;;;;;
Total H + L0 requirements;43;;;;;;;;;;;;;;;;;
